run,food_left
21,"[{'steps': 100, 'remaining_food': 91}, {'steps': 200, 'remaining_food': 78}, {'steps': 300, 'remaining_food': 64}, {'steps': 400, 'remaining_food': 56}, {'steps': 500, 'remaining_food': 50}, {'steps': 600, 'remaining_food': 45}, {'steps': 700, 'remaining_food': 40}, {'steps': 800, 'remaining_food': 34}, {'steps': 900, 'remaining_food': 31}, {'steps': 1000, 'remaining_food': 27}, {'steps': 1100, 'remaining_food': 22}, {'steps': 1200, 'remaining_food': 17}, {'steps': 1300, 'remaining_food': 14}, {'steps': 1400, 'remaining_food': 10}, {'steps': 1500, 'remaining_food': 6}, {'steps': 1600, 'remaining_food': 1}, {'steps': 1648, 'remaining_food': 0}]"
22,"[{'steps': 100, 'remaining_food': 78}, {'steps': 200, 'remaining_food': 66}, {'steps': 300, 'remaining_food': 54}, {'steps': 400, 'remaining_food': 41}, {'steps': 500, 'remaining_food': 30}, {'steps': 600, 'remaining_food': 25}, {'steps': 700, 'remaining_food': 11}, {'steps': 800, 'remaining_food': 5}, {'steps': 900, 'remaining_food': 2}, {'steps': 939, 'remaining_food': 0}]"
23,"[{'steps': 100, 'remaining_food': 84}, {'steps': 200, 'remaining_food': 76}, {'steps': 300, 'remaining_food': 64}, {'steps': 400, 'remaining_food': 48}, {'steps': 500, 'remaining_food': 32}, {'steps': 600, 'remaining_food': 18}, {'steps': 700, 'remaining_food': 13}, {'steps': 800, 'remaining_food': 6}, {'steps': 900, 'remaining_food': 3}, {'steps': 1000, 'remaining_food': 2}, {'steps': 1061, 'remaining_food': 0}]"
24,"[{'steps': 100, 'remaining_food': 82}, {'steps': 200, 'remaining_food': 67}, {'steps': 300, 'remaining_food': 53}, {'steps': 400, 'remaining_food': 33}, {'steps': 500, 'remaining_food': 26}, {'steps': 600, 'remaining_food': 18}, {'steps': 700, 'remaining_food': 17}, {'steps': 800, 'remaining_food': 15}, {'steps': 900, 'remaining_food': 12}, {'steps': 1000, 'remaining_food': 11}, {'steps': 1100, 'remaining_food': 8}, {'steps': 1200, 'remaining_food': 2}, {'steps': 1245, 'remaining_food': 0}]"
25,"[{'steps': 100, 'remaining_food': 87}, {'steps': 200, 'remaining_food': 71}, {'steps': 300, 'remaining_food': 66}, {'steps': 400, 'remaining_food': 51}, {'steps': 500, 'remaining_food': 48}, {'steps': 600, 'remaining_food': 44}, {'steps': 700, 'remaining_food': 38}, {'steps': 800, 'remaining_food': 30}, {'steps': 900, 'remaining_food': 24}, {'steps': 1000, 'remaining_food': 24}, {'steps': 1100, 'remaining_food': 19}, {'steps': 1200, 'remaining_food': 16}, {'steps': 1300, 'remaining_food': 13}, {'steps': 1400, 'remaining_food': 13}, {'steps': 1500, 'remaining_food': 10}, {'steps': 1600, 'remaining_food': 3}, {'steps': 1650, 'remaining_food': 0}]"
26,"[{'steps': 100, 'remaining_food': 95}, {'steps': 200, 'remaining_food': 81}, {'steps': 300, 'remaining_food': 64}, {'steps': 400, 'remaining_food': 56}, {'steps': 500, 'remaining_food': 50}, {'steps': 600, 'remaining_food': 42}, {'steps': 700, 'remaining_food': 42}, {'steps': 800, 'remaining_food': 41}, {'steps': 900, 'remaining_food': 36}, {'steps': 1000, 'remaining_food': 32}, {'steps': 1100, 'remaining_food': 28}, {'steps': 1200, 'remaining_food': 22}, {'steps': 1300, 'remaining_food': 18}, {'steps': 1400, 'remaining_food': 17}, {'steps': 1500, 'remaining_food': 17}, {'steps': 1600, 'remaining_food': 16}, {'steps': 1700, 'remaining_food': 9}, {'steps': 1800, 'remaining_food': 7}, {'steps': 1900, 'remaining_food': 6}, {'steps': 2000, 'remaining_food': 6}, {'steps': 2100, 'remaining_food': 4}, {'steps': 2200, 'remaining_food': 1}, {'steps': 2300, 'remaining_food': 1}, {'steps': 2307, 'remaining_food': 0}]"
27,"[{'steps': 100, 'remaining_food': 94}, {'steps': 200, 'remaining_food': 88}, {'steps': 300, 'remaining_food': 75}, {'steps': 400, 'remaining_food': 61}, {'steps': 500, 'remaining_food': 41}, {'steps': 600, 'remaining_food': 35}, {'steps': 700, 'remaining_food': 21}, {'steps': 800, 'remaining_food': 17}, {'steps': 900, 'remaining_food': 16}, {'steps': 1000, 'remaining_food': 16}, {'steps': 1100, 'remaining_food': 12}, {'steps': 1200, 'remaining_food': 12}, {'steps': 1300, 'remaining_food': 11}, {'steps': 1400, 'remaining_food': 9}, {'steps': 1500, 'remaining_food': 7}, {'steps': 1600, 'remaining_food': 4}, {'steps': 1660, 'remaining_food': 0}]"
28,"[{'steps': 100, 'remaining_food': 79}, {'steps': 200, 'remaining_food': 51}, {'steps': 300, 'remaining_food': 34}, {'steps': 400, 'remaining_food': 15}, {'steps': 500, 'remaining_food': 4}, {'steps': 548, 'remaining_food': 0}]"
29,"[{'steps': 100, 'remaining_food': 92}, {'steps': 200, 'remaining_food': 72}, {'steps': 300, 'remaining_food': 63}, {'steps': 400, 'remaining_food': 58}, {'steps': 500, 'remaining_food': 50}, {'steps': 600, 'remaining_food': 43}, {'steps': 700, 'remaining_food': 38}, {'steps': 800, 'remaining_food': 25}, {'steps': 900, 'remaining_food': 21}, {'steps': 1000, 'remaining_food': 13}, {'steps': 1100, 'remaining_food': 12}, {'steps': 1200, 'remaining_food': 9}, {'steps': 1300, 'remaining_food': 3}, {'steps': 1400, 'remaining_food': 3}, {'steps': 1500, 'remaining_food': 1}, {'steps': 1526, 'remaining_food': 0}]"
30,"[{'steps': 100, 'remaining_food': 92}, {'steps': 200, 'remaining_food': 84}, {'steps': 300, 'remaining_food': 69}, {'steps': 400, 'remaining_food': 64}, {'steps': 500, 'remaining_food': 60}, {'steps': 600, 'remaining_food': 54}, {'steps': 700, 'remaining_food': 46}, {'steps': 800, 'remaining_food': 43}, {'steps': 900, 'remaining_food': 43}, {'steps': 1000, 'remaining_food': 42}, {'steps': 1100, 'remaining_food': 39}, {'steps': 1200, 'remaining_food': 34}, {'steps': 1300, 'remaining_food': 26}, {'steps': 1400, 'remaining_food': 24}, {'steps': 1500, 'remaining_food': 22}, {'steps': 1600, 'remaining_food': 18}, {'steps': 1700, 'remaining_food': 18}, {'steps': 1800, 'remaining_food': 18}, {'steps': 1900, 'remaining_food': 15}, {'steps': 2000, 'remaining_food': 8}, {'steps': 2100, 'remaining_food': 3}, {'steps': 2172, 'remaining_food': 0}]"
